classifier_name,dataset_name,accuracy
pWalk,100_2_0.2_0.05_0,0.8080620079101718
pWalk,100_2_0.2_0.05_1,0.8448351863643042
pWalk,100_2_0.2_0.05_2,0.8080808080808081
pWalk,100_2_0.2_0.05_3,0.7026007738649165
pWalk,100_2_0.2_0.05_4,0.8824165642894751
pWalk,100_2_0.2_0.05_5,0.8080682750429576
pWalk,100_2_0.2_0.05_6,0.7721128416103438
pWalk,100_2_0.2_0.05_7,0.9208
pWalk,100_2_0.2_0.05_8,0.8448427857772554
pWalk,100_2_0.2_0.05_9,0.9208
pWalk,100_2_0.2_0.05_10,0.6045348272611911
pWalk,100_2_0.2_0.05_11,0.7369954580512469
pWalk,100_2_0.2_0.05_12,0.7721128416103438
pWalk,100_2_0.2_0.05_13,0.9208012930401136
pWalk,100_2_0.2_0.05_14,0.9208012930401136
pWalk,100_2_0.2_0.05_15,0.7369525201115061
pWalk,100_2_0.2_0.05_16,1.0
pWalk,100_2_0.2_0.05_17,0.8080682750429576
pWalk,100_2_0.2_0.05_18,0.8448326530612245
pWalk,100_2_0.2_0.05_19,0.7721016799725718
pWalk,100_2_0.2_0.05_20,0.7369439308410987
pWalk,100_2_0.2_0.05_21,0.7369525201115061
pWalk,100_2_0.2_0.05_22,0.7369525201115061
pWalk,100_2_0.2_0.05_23,0.8448351863643042
pWalk,100_2_0.2_0.05_24,0.7369439308410987
pWalk,100_2_0.2_0.05_25,0.9208012930401136
pWalk,100_2_0.2_0.05_26,0.9208012930401136
pWalk,100_2_0.2_0.05_27,0.7025959183673469
pWalk,100_2_0.2_0.05_28,0.8824165642894751
pWalk,100_2_0.2_0.05_29,0.7721314419105765
pWalk,100_2_0.2_0.05_30,0.8824127248460211
pWalk,100_2_0.2_0.05_31,0.7026396121386246
pWalk,100_2_0.2_0.05_32,0.7369525201115061
pWalk,100_2_0.2_0.05_33,0.7369696969696969
pWalk,100_2_0.2_0.05_34,0.8448427857772554
pWalk,100_2_0.2_0.05_35,0.8824127248460211
pWalk,100_2_0.2_0.05_36,0.8824127248460211
pWalk,100_2_0.2_0.05_37,0.7721128416103438
pWalk,100_2_0.2_0.05_38,0.7026007738649165
pWalk,100_2_0.2_0.05_39,0.7369696969696969
pWalk,100_2_0.2_0.05_40,0.8824127248460211
