classifier_name,dataset_name,accuracy
inertia_one,cora_DB_Katz_0,0.08154767584727009
inertia_all,cora_DB_Katz_0,0.034245404628724135
inertia_kmp,cora_DB_Katz_0,0.05773703942748417
inertia_any2,cora_DB_Katz_0,0.036787018944969094
inertia_any3,cora_DB_Katz_0,0.03406779110926783
modularity_one,cora_DB_Katz_0,0.05090828387317076
modularity_all,cora_DB_Katz_0,0.04559650627316635
modularity_kmp,cora_DB_Katz_0,0.06333167803370497
modularity_any2,cora_DB_Katz_0,0.06050319052928325
modularity_any3,cora_DB_Katz_0,0.06829714936436398
inertia_one,cora_DB_Katz_1,0.0435983623183943
inertia_all,cora_DB_Katz_1,0.03683047574232943
inertia_kmp,cora_DB_Katz_1,0.08276459001343854
inertia_any2,cora_DB_Katz_1,0.03683047574232943
inertia_any3,cora_DB_Katz_1,0.03683047574232943
modularity_one,cora_DB_Katz_1,0.06868094186995431
modularity_all,cora_DB_Katz_1,0.04936175323251332
modularity_kmp,cora_DB_Katz_1,0.08361058599955015
modularity_any2,cora_DB_Katz_1,0.08361058599955015
modularity_any3,cora_DB_Katz_1,0.08361058599955015
inertia_one,cora_DB_Katz_2,0.0435983623183943
inertia_all,cora_DB_Katz_2,0.03683047574232943
inertia_kmp,cora_DB_Katz_2,0.08953668325460855
inertia_any2,cora_DB_Katz_2,0.03379039114693997
inertia_any3,cora_DB_Katz_2,0.04165398580081824
modularity_one,cora_DB_Katz_2,0.06868094186995431
modularity_all,cora_DB_Katz_2,0.04936175323251332
modularity_kmp,cora_DB_Katz_2,0.08361058599955015
modularity_any2,cora_DB_Katz_2,0.08361058599955015
modularity_any3,cora_DB_Katz_2,0.08361058599955015
inertia_one,cora_DB_Katz_3,0.0435983623183943
inertia_all,cora_DB_Katz_3,0.03683047574232943
inertia_kmp,cora_DB_Katz_3,0.08953668325460855
inertia_any2,cora_DB_Katz_3,0.04170394358896009
inertia_any3,cora_DB_Katz_3,0.04170394358896009
modularity_one,cora_DB_Katz_3,0.06868094186995431
modularity_all,cora_DB_Katz_3,0.04936175323251332
modularity_kmp,cora_DB_Katz_3,0.08361058599955015
modularity_any2,cora_DB_Katz_3,0.08276459001343854
modularity_any3,cora_DB_Katz_3,0.06389616048876945
inertia_one,cora_DB_Katz_4,0.0435983623183943
inertia_all,cora_DB_Katz_4,0.03683047574232943
inertia_kmp,cora_DB_Katz_4,0.08953668325460855
inertia_any2,cora_DB_Katz_4,0.03492066289144087
inertia_any3,cora_DB_Katz_4,0.04165398580081824
modularity_one,cora_DB_Katz_4,0.06868094186995431
modularity_all,cora_DB_Katz_4,0.04936175323251332
modularity_kmp,cora_DB_Katz_4,0.08361058599955015
modularity_any2,cora_DB_Katz_4,0.08361058599955015
modularity_any3,cora_DB_Katz_4,0.08361058599955015
inertia_one,cora_DB_logKatz_0,0.15809674491617867
inertia_all,cora_DB_logKatz_0,0.18977205849455228
inertia_kmp,cora_DB_logKatz_0,0.217146240406166
inertia_any2,cora_DB_logKatz_0,0.17969510665603636
inertia_any3,cora_DB_logKatz_0,0.1879153818867525
modularity_one,cora_DB_logKatz_0,0.18721213953143667
modularity_all,cora_DB_logKatz_0,0.21516142334841729
modularity_kmp,cora_DB_logKatz_0,0.18847159584457895
modularity_any2,cora_DB_logKatz_0,0.2060910365723499
modularity_any3,cora_DB_logKatz_0,0.19813925275682878
inertia_one,cora_DB_logKatz_1,0.2024153668060926
inertia_all,cora_DB_logKatz_1,0.2086764315362332
inertia_kmp,cora_DB_logKatz_1,0.19696881107502498
inertia_any2,cora_DB_logKatz_1,0.22026801958943018
inertia_any3,cora_DB_logKatz_1,0.20605995656950543
modularity_one,cora_DB_logKatz_1,0.19317430334417962
modularity_all,cora_DB_logKatz_1,0.18422125534382836
modularity_kmp,cora_DB_logKatz_1,0.19986205459269993
modularity_any2,cora_DB_logKatz_1,0.1883100610657388
modularity_any3,cora_DB_logKatz_1,0.1883100610657388
inertia_one,cora_DB_logKatz_2,0.17214839690341144
inertia_all,cora_DB_logKatz_2,0.22026801958943018
inertia_kmp,cora_DB_logKatz_2,0.19696881107502498
inertia_any2,cora_DB_logKatz_2,0.2086764315362332
inertia_any3,cora_DB_logKatz_2,0.21285410495938117
